,X,Y,time
69,-122.2964396,47.624750799999994,1530756875.0
70,-122.29636049999999,47.6247526,1530756887.0
71,-122.296434,47.6247749,1530756899.0
72,-122.29629309999999,47.6247344,1530756922.0
73,-122.29631409999999,47.6247607,1530756928.0
74,-122.29634850000001,47.6247749,1530756934.0
75,-122.2962811,47.6248001,1530756946.0
76,-122.29617160000001,47.624793100000005,1530756962.0
77,-122.29620609999999,47.624778899999995,1530756968.0
78,-122.29620159999999,47.6247365,1530756978.0
79,-122.29624809999999,47.624784999999996,1530756991.0
80,-122.2962706,47.6247435,1530757000.0
81,-122.29640249999999,47.6248244,1530757027.0
82,-122.29642350000002,47.624805200000004,1530757032.0
83,-122.29646100000001,47.6248254,1530757040.0
84,-122.296449,47.6248547,1530757046.0
85,-122.29639499999999,47.6248567,1530757054.0
86,-122.296353,47.6248597,1530757061.0
87,-122.2963335,47.6248244,1530757069.0
88,-122.296365,47.624805200000004,1530757076.0
89,-122.29629309999999,47.624789,1530757087.0
90,-122.29626609999998,47.624778899999995,1530757092.0
91,-122.29618059999999,47.624767799999994,1530757105.0
92,-122.29618810000001,47.624820299999996,1530757116.0
93,-122.2962031,47.6248426,1530757122.0
94,-122.29624960000001,47.6248234,1530757130.0
95,-122.2963156,47.6248547,1530757142.0
96,-122.29627659999998,47.6248698,1530757149.0
97,-122.29628559999999,47.624884,1530757152.0
98,-122.2963216,47.6248961,1530757158.0
99,-122.296365,47.62490220000001,1530757165.0
100,-122.29646399999999,47.624897100000005,1530757180.0
101,-122.29650900000001,47.62488,1530757187.0
102,-122.29651799999999,47.62485770000001,1530757193.0
103,-122.29651799999999,47.6248335,1530757198.0
104,-122.296503,47.624799100000004,1530757206.0
105,-122.2964835,47.6247658,1530757214.0
106,-122.2964655,47.624787,1530757219.0
107,-122.296452,47.6247769,1530757222.0
108,-122.296434,47.6247648,1530757226.0
109,-122.29658870000002,47.624815500000004,1530757252.0
110,-122.2965565,47.6237092,1530757498.0
111,-122.29628829999999,47.6231487,1530757629.0
112,-122.296122,47.62263529999999,1530757746.0
113,-122.2961435,47.6219917,1530757889.0
114,-122.2961435,47.6217422,1530757944.0
115,-122.296122,47.621367799999994,1530758027.0
116,-122.29604690000001,47.6210568,1530758097.0
117,-122.2960577,47.6204385,1530758235.0
118,-122.29606840000001,47.6199654,1530758340.0
119,-122.2960898,47.6189143,1530758574.0
120,-122.29609520000001,47.6187046,1530758620.0
121,-122.2960456,47.618669399999995,1530758631.0
122,-122.2959879,47.6186685,1530758640.0
123,-122.29596380000001,47.6186657,1530758643.0
124,-122.295953,47.6186594,1530758646.0
125,-122.29593559999999,47.6186621,1530758648.0
126,-122.2959101,47.6186621,1530758652.0
127,-122.29589140000002,47.6186621,1530758655.0
128,-122.2958739,47.6186621,1530758657.0
129,-122.29584979999998,47.6186621,1530758661.0
130,-122.2958203,47.618661200000005,1530758665.0
131,-122.2958015,47.618661200000005,1530758668.0
132,-122.2957841,47.618661200000005,1530758671.0
133,-122.2957787,47.61867120000001,1530758673.0
134,-122.2957787,47.618693799999996,1530758678.0
135,-122.2957787,47.6187073,1530758681.0
